Year,Week,Category,Brand,Product_Name,Weekly_Units_Sold,Weekly_Revenue,Weekly_Margin,Average_Stock,Month,Lag_1,Lag_2,Lag_3,Lag_4,Rolling_4_Week_Avg,Rolling_8_Week_Avg,Target
2024,8,Snacks,Britannia,50-50 Biscuit,23,3283.784262023085,601.8658599326716,276.25,2,21.0,24.0,11.0,21.0,19.75,23.75,25.0
2024,9,Snacks,Britannia,50-50 Biscuit,25,3736.315441261701,713.3214719886354,255.63636363636363,3,23.0,21.0,24.0,11.0,23.25,21.375,21.0
2024,10,Snacks,Britannia,50-50 Biscuit,21,3380.164912297223,673.8426437626435,183.25,3,25.0,23.0,21.0,24.0,22.5,21.25,19.0
2024,11,Snacks,Britannia,50-50 Biscuit,19,2706.5088859747448,709.4057610782417,240.16666666666666,3,21.0,25.0,23.0,21.0,22.0,20.625,24.0
2024,12,Snacks,Britannia,50-50 Biscuit,24,2606.7667423401917,549.6721277155237,279.85714285714283,3,19.0,21.0,25.0,23.0,22.25,21.0,45.0
2024,13,Snacks,Britannia,50-50 Biscuit,45,5474.947412972456,1012.5861680182574,277.64285714285717,3,24.0,19.0,21.0,25.0,27.25,25.25,28.0
2024,14,Snacks,Britannia,50-50 Biscuit,28,3881.243199377883,837.2425395855923,283.1111111111111,4,45.0,24.0,19.0,21.0,29.0,25.75,31.0
2024,15,Snacks,Britannia,50-50 Biscuit,31,5251.40179988941,1252.0097797766068,285.9,4,28.0,45.0,24.0,19.0,32.0,27.0,27.0
2024,16,Snacks,Britannia,50-50 Biscuit,27,3190.412538002136,580.3893645340119,254.9,4,31.0,28.0,45.0,24.0,32.75,27.5,22.0
2024,17,Snacks,Britannia,50-50 Biscuit,22,2945.4039968318475,663.8807770610894,369.75,4,27.0,31.0,28.0,45.0,27.0,27.125,26.0
2024,18,Snacks,Britannia,50-50 Biscuit,26,2428.78795912037,627.233793918422,285.0,5,22.0,27.0,31.0,28.0,26.5,27.75,31.0
2024,19,Snacks,Britannia,50-50 Biscuit,31,2982.5409176754574,544.8143980323089,326.0,5,26.0,22.0,27.0,31.0,26.5,29.25,24.0
2024,20,Snacks,Britannia,50-50 Biscuit,24,3517.719925391398,544.4029816679856,261.2857142857143,5,31.0,26.0,22.0,27.0,25.75,29.25,27.0
2024,21,Snacks,Britannia,50-50 Biscuit,27,4424.280946406304,981.9323746895517,313.625,5,24.0,31.0,26.0,22.0,27.0,27.0,17.0
2024,22,Snacks,Britannia,50-50 Biscuit,17,1492.013517422611,290.9376172079851,225.0,5,27.0,24.0,31.0,26.0,24.75,25.625,24.0
2024,23,Snacks,Britannia,50-50 Biscuit,24,3220.2126491379404,647.9477752452201,312.875,6,17.0,27.0,24.0,31.0,23.0,24.75,28.0
2024,24,Snacks,Britannia,50-50 Biscuit,28,3719.6679785921087,700.9774421643062,250.3,6,24.0,17.0,27.0,24.0,24.0,24.875,18.0
2024,25,Snacks,Britannia,50-50 Biscuit,18,2648.211530410298,479.32818329598774,245.33333333333334,6,28.0,24.0,17.0,27.0,21.75,24.375,29.0
2024,26,Snacks,Britannia,50-50 Biscuit,29,5230.100541415165,1142.3555276144693,235.9,6,18.0,28.0,24.0,17.0,24.75,24.75,19.0
2024,27,Snacks,Britannia,50-50 Biscuit,19,2671.2428419489793,495.67139823833867,246.14285714285714,7,29.0,18.0,28.0,24.0,23.5,23.25,22.0
2024,28,Snacks,Britannia,50-50 Biscuit,22,2649.5761650299273,479.17362284188494,330.42857142857144,7,19.0,29.0,18.0,28.0,22.0,23.0,31.0
2024,29,Snacks,Britannia,50-50 Biscuit,31,2489.2572304477035,357.4798858827175,299.3333333333333,7,22.0,19.0,29.0,18.0,25.25,23.5,26.0
2024,30,Snacks,Britannia,50-50 Biscuit,26,3185.9800196032397,566.9244376664415,256.55555555555554,7,31.0,22.0,19.0,29.0,24.5,24.625,26.0
2024,31,Snacks,Britannia,50-50 Biscuit,26,3682.8859594103687,629.8619157651649,368.85714285714283,7,26.0,31.0,22.0,19.0,26.25,24.875,31.0
2024,32,Snacks,Britannia,50-50 Biscuit,31,3697.3490970771472,692.9263588212631,284.6666666666667,8,26.0,26.0,31.0,22.0,28.5,25.25,38.0
2024,33,Snacks,Britannia,50-50 Biscuit,38,4476.9670923697195,793.8784668990625,258.07142857142856,8,31.0,26.0,26.0,31.0,30.25,27.75,28.0
2024,34,Snacks,Britannia,50-50 Biscuit,28,4243.048881751481,809.5075287970149,231.25,8,38.0,31.0,26.0,26.0,30.75,27.625,29.0
2024,35,Snacks,Britannia,50-50 Biscuit,29,3227.12889509247,673.6019746041429,257.8181818181818,8,28.0,38.0,31.0,26.0,31.5,28.875,42.0
2024,36,Snacks,Britannia,50-50 Biscuit,42,6489.402419322817,1455.7140301294667,319.35714285714283,9,29.0,28.0,38.0,31.0,34.25,31.375,28.0
2024,37,Snacks,Britannia,50-50 Biscuit,28,4204.077891582222,785.5557201908855,337.72727272727275,9,42.0,29.0,28.0,38.0,31.75,31.0,32.0
2024,38,Snacks,Britannia,50-50 Biscuit,32,3514.5895547864807,669.9484895988643,285.84615384615387,9,28.0,42.0,29.0,28.0,32.75,31.75,40.0
2024,39,Snacks,Britannia,50-50 Biscuit,40,4879.719445392178,855.0908422499489,327.0,9,32.0,28.0,42.0,29.0,35.5,33.5,26.0
2024,40,Snacks,Britannia,50-50 Biscuit,26,3388.9330217212096,444.720658636296,292.6666666666667,10,40.0,32.0,28.0,42.0,31.5,32.875,27.0
2024,41,Snacks,Britannia,50-50 Biscuit,27,4548.2157134232375,1106.5370135691583,356.4,10,26.0,40.0,32.0,28.0,31.25,31.5,42.0
2024,42,Snacks,Britannia,50-50 Biscuit,42,6640.336317015961,1367.3299319097644,278.09090909090907,10,27.0,26.0,40.0,32.0,33.75,33.25,33.0
2024,43,Snacks,Britannia,50-50 Biscuit,33,5215.564786940109,1260.5901476140773,270.57142857142856,10,42.0,27.0,26.0,40.0,32.0,33.75,41.0
