Year,Month,Week,Category,Brand,Product_Name,Weekly_Units_Sold,Weekly_Revenue,Weekly_Margin,Average_Stock,Lag_1,Lag_2,Lag_3,Rolling_4_Week_Avg,Target,Product_Encoded,Lag_4,Rolling_8_Week_Avg,Category_Encoded,Brand_Encoded
2024,2,9,Snacks,Britannia,50-50 Biscuit,12,2164.3525903305886,439.22361378100777,306.3333333333333,15.0,34.0,38.0,24.75,16.0,0,11.0,22.0,6,1
2024,3,9,Snacks,Britannia,50-50 Biscuit,16,1721.51254201332,335.8173736124061,266.5,12.0,15.0,34.0,19.25,33.0,0,38.0,20.375,6,1
2024,3,10,Snacks,Britannia,50-50 Biscuit,33,4721.749388770586,744.7264015244801,220.9,16.0,12.0,15.0,19.0,30.0,0,34.0,20.375,6,1
2024,3,11,Snacks,Britannia,50-50 Biscuit,30,5145.786543687306,1020.856026131967,228.4,33.0,16.0,12.0,22.75,17.0,0,15.0,23.625,6,1
2024,3,12,Snacks,Britannia,50-50 Biscuit,17,1468.1538268128097,318.3987724835863,271.8,30.0,33.0,16.0,24.0,46.0,0,12.0,24.375,6,1
2024,3,13,Snacks,Britannia,50-50 Biscuit,46,5977.342358737315,1288.0997729403107,233.4375,17.0,30.0,33.0,31.5,33.0,0,16.0,25.375,6,1
2024,4,14,Snacks,Britannia,50-50 Biscuit,33,3799.8910792272836,691.5051849753918,291.22222222222223,46.0,17.0,30.0,31.5,18.0,0,33.0,25.25,6,1
2024,4,15,Snacks,Britannia,50-50 Biscuit,18,2561.9359625906413,638.7933586533245,251.83333333333334,33.0,46.0,17.0,28.5,27.0,0,30.0,25.625,6,1
2024,4,16,Snacks,Britannia,50-50 Biscuit,27,4388.230276143255,1012.8896582483145,275.0,18.0,33.0,46.0,31.0,16.0,0,17.0,27.5,6,1
2024,4,17,Snacks,Britannia,50-50 Biscuit,16,2114.9057042468753,464.0988205803201,324.85714285714283,27.0,18.0,33.0,23.5,8.0,0,46.0,27.5,6,1
2024,4,18,Snacks,Britannia,50-50 Biscuit,8,710.0819537410439,152.14350134530073,213.33333333333334,16.0,27.0,18.0,17.25,26.0,0,33.0,24.375,6,1
2024,5,18,Snacks,Britannia,50-50 Biscuit,26,4026.6989581453427,940.709605091706,242.5,8.0,16.0,27.0,19.25,13.0,0,18.0,23.875,6,1
2024,5,19,Snacks,Britannia,50-50 Biscuit,13,2815.5606844605445,777.6319922048772,281.6666666666667,26.0,8.0,16.0,15.75,54.0,0,27.0,23.375,6,1
2024,5,20,Snacks,Britannia,50-50 Biscuit,54,7447.0458066971205,1549.7589728076655,243.69230769230768,13.0,26.0,8.0,25.25,19.0,0,16.0,24.375,6,1
2024,5,21,Snacks,Britannia,50-50 Biscuit,19,2717.8847173808217,514.419187907487,328.3333333333333,54.0,13.0,26.0,28.0,6.0,0,8.0,22.625,6,1
2024,5,22,Snacks,Britannia,50-50 Biscuit,6,745.0527727068777,190.1497297333723,220.66666666666666,19.0,54.0,13.0,23.0,19.0,0,26.0,21.125,6,1
2024,6,22,Snacks,Britannia,50-50 Biscuit,19,2438.10813758726,452.33370635251913,214.0,6.0,19.0,54.0,24.5,25.0,0,13.0,20.125,6,1
2024,6,23,Snacks,Britannia,50-50 Biscuit,25,2835.895340063258,442.7450700850366,304.125,19.0,6.0,19.0,17.25,20.0,0,54.0,21.25,6,1
2024,6,24,Snacks,Britannia,50-50 Biscuit,20,3380.1294140042673,704.8441854873195,289.44444444444446,25.0,19.0,6.0,17.5,28.0,0,19.0,22.75,6,1
2024,6,25,Snacks,Britannia,50-50 Biscuit,28,4167.43322140271,618.4880822788564,341.1818181818182,20.0,25.0,19.0,23.0,27.0,0,6.0,23.0,6,1
2024,6,26,Snacks,Britannia,50-50 Biscuit,27,4637.088763594801,938.3667276023608,193.55555555555554,28.0,20.0,25.0,25.0,25.0,0,19.0,24.75,6,1
2024,7,27,Snacks,Britannia,50-50 Biscuit,25,3361.5542045841157,569.3933829281696,362.875,27.0,28.0,20.0,25.0,48.0,0,25.0,21.125,6,1
2024,7,28,Snacks,Britannia,50-50 Biscuit,48,4897.774210229721,1105.6898416678082,276.0,25.0,27.0,28.0,32.0,31.0,0,20.0,24.75,6,1
2024,7,29,Snacks,Britannia,50-50 Biscuit,31,4734.89906830468,1076.6234842121562,285.3333333333333,48.0,25.0,27.0,32.75,32.0,0,28.0,27.875,6,1
2024,7,30,Snacks,Britannia,50-50 Biscuit,32,2983.04367017287,668.6193354108829,312.4,31.0,48.0,25.0,34.0,14.0,0,27.0,29.5,6,1
2024,7,31,Snacks,Britannia,50-50 Biscuit,14,2660.3750181229057,559.6124352811757,343.5,32.0,31.0,48.0,31.25,23.0,0,25.0,28.125,6,1
2024,8,31,Snacks,Britannia,50-50 Biscuit,23,3914.7027504301077,869.6354736707535,281.1666666666667,14.0,32.0,31.0,25.0,49.0,0,48.0,28.5,6,1
2024,8,32,Snacks,Britannia,50-50 Biscuit,49,7075.995931899675,1417.4688988923056,258.53846153846155,23.0,14.0,32.0,29.5,39.0,0,31.0,31.125,6,1
2024,8,33,Snacks,Britannia,50-50 Biscuit,39,3827.5757585971637,655.9413312983735,271.4166666666667,49.0,23.0,14.0,31.25,12.0,0,32.0,32.625,6,1
2024,8,34,Snacks,Britannia,50-50 Biscuit,12,1202.4160341566992,195.4967068341324,300.0,39.0,49.0,23.0,30.75,28.0,0,14.0,31.0,6,1
2024,8,35,Snacks,Britannia,50-50 Biscuit,28,3415.4716574541026,573.3943558340902,273.42857142857144,12.0,39.0,49.0,32.0,21.0,0,23.0,28.5,6,1
2024,9,36,Snacks,Britannia,50-50 Biscuit,21,4010.9532324607435,849.0700708551204,301.375,28.0,12.0,39.0,25.0,29.0,0,49.0,27.25,6,1
2024,9,37,Snacks,Britannia,50-50 Biscuit,29,3906.4016029650484,796.7080135281836,341.2307692307692,21.0,28.0,12.0,22.5,21.0,0,39.0,26.875,6,1
2024,9,38,Snacks,Britannia,50-50 Biscuit,21,2031.044721463366,217.7475865592221,240.625,29.0,21.0,28.0,24.75,31.0,0,12.0,27.75,6,1
2024,9,39,Snacks,Britannia,50-50 Biscuit,31,5207.583405195905,976.0664037372688,308.7,21.0,29.0,21.0,25.5,5.0,0,28.0,28.75,6,1
2024,9,40,Snacks,Britannia,50-50 Biscuit,5,725.329942621638,83.49194653983773,397.0,31.0,21.0,29.0,21.5,27.0,0,21.0,23.25,6,1
2024,10,40,Snacks,Britannia,50-50 Biscuit,27,3980.521179027975,606.2239966740686,282.3333333333333,5.0,31.0,21.0,21.0,17.0,0,29.0,21.75,6,1
2024,10,41,Snacks,Britannia,50-50 Biscuit,17,2781.8419949732047,646.7483853764808,342.2,27.0,5.0,31.0,20.0,27.0,0,21.0,22.375,6,1
